MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.57642	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
-0.21588369	-66.752296	27.400146
-0.21892154	-69.704781	27.500244
-0.21959448	-71.016083	27.600342
-0.21902061	-70.899704	27.700439
-0.22207068	-74.193069	27.800537
-0.22088812	-74.035713	27.900635
-0.22381704	-78.261131	28.000732
-0.22258644	-80.571014	28.10083
-0.22466068	-78.048866	28.200928
-0.22845021	-78.877235	28.301025
-0.22555239	-83.775925	28.401123
-0.22317767	-81.224213	28.501221
-0.22792995	-88.284912	28.601318
-0.23064709	-87.263733	28.701416
-0.22935811	-84.110718	28.801514
-0.23203984	-87.916107	28.901611
-0.22950731	-88.474228	29.001709
-0.23144917	-90.933281	29.101807
-0.23398247	-92.145615	29.201904
-0.23446302	-94.068466	29.302002
-0.23539937	-96.004066	29.4021
-0.23315829	-97.890503	29.502197
-0.23761155	-99.12661	29.602295
-0.23550498	-101.23058	29.702393
-0.23820877	-103.05903	29.80249
-0.23977216	-106.86355	29.902588
-0.23891138	-104.58173	30.002686
-0.23911993	-108.69671	30.102783
-0.24170154	-107.55054	30.202881
-0.24167146	-108.50861	30.302979
-0.24115345	-106.75153	30.403076
-0.2443278	-112.08089	30.503174
-0.24322221	-112.82116	30.603271
-0.24693397	-118.15212	30.703369
-0.2474886	-118.8467	30.803467
-0.24690346	-120.63412	30.903564
-0.2467823	-123.56447	31.003662
-0.24923277	-126.64398	31.10376
-0.24802442	-126.10881	31.203857
-0.24989399	-125.31567	31.303955
-0.24774341	-126.35078	31.404053
-0.25255361	-128.37485	31.50415
-0.25158063	-131.94707	31.604248
-0.25437838	-128.52176	31.704346
-0.25474247	-133.07458	31.804443
-0.25584787	-134.95543	31.904541
-0.25246152	-134.6149	32.004639
-0.25780302	-138.76128	32.104736
-0.25606051	-138.7455	32.204834
-0.25855723	-140.31189	32.304932
-0.26174608	-137.5432	32.405029
-0.261287	-139.62039	32.505127
-0.26008746	-145.88298	32.605225
-0.25938591	-147.43805	32.705322
-0.2601687	-147.66507	32.80542
-0.2601853	-147.73679	32.905518
-0.26295236	-147.79375	33.005615
-0.26350266	-149.41258	33.105713
-0.26543185	-152.04012	33.205811
-0.26650551	-156.64929	33.305908
-0.26497522	-154.84647	33.406006
-0.26762375	-155.97356	33.506104
-0.26856399	-158.31294	33.606201
-0.26973039	-158.7926	33.706299
-0.27018434	-162.52034	33.806396
-0.27218288	-162.97212	33.906494
-0.27097905	-161.44342	34.006592
-0.27470103	-161.31865	34.106689
-0.27177376	-163.53024	34.206787
-0.27235132	-161.30389	34.306885
-0.27526182	-167.10066	34.406982
-0.27568591	-165.79756	34.50708
-0.27601948	-167.91342	34.607178
-0.27683502	-169.87218	34.707275
-0.27723476	-170.71034	34.807373
-0.27860621	-171.81471	34.907471
-0.28028196	-172.50847	35.007568
-0.27974415	-172.78896	35.107666
-0.28136402	-176.69188	35.207764
-0.28334069	-178.80902	35.307861
-0.28408423	-180.32889	35.407959
-0.28532371	-180.96687	35.508057
-0.28326681	-182.65579	35.608154
-0.28470334	-180.27461	35.708252
-0.287296	-180.99843	35.80835
-0.28745052	-182.96046	35.908447
-0.28905162	-183.41922	36.008545
-0.28571215	-185.63977	36.108643
-0.28602469	-185.79979	36.20874
-0.28689137	-185.22713	36.308838
-0.29093531	-185.12897	36.408936
-0.2911455	-187.41512	36.509033
-0.29444426	-193.21945	36.609131
-0.29469559	-192.48801	36.709229
-0.29405048	-191.71782	36.809326
-0.29683292	-195.19292	36.909424
-0.29542154	-192.91376	37.009521
-0.29747412	-192.78551	37.109619
-0.2974686	-192.96683	37.209717
-0.29770559	-197.3158	37.309814
-0.29989552	-197.20822	37.409912
-0.30113491	-194.92471	37.51001
-0.30072212	-199.37059	37.610107
-0.30167627	-202.02879	37.710205
-0.30190367	-201.01193	37.810303
-0.29816958	-202.47034	37.9104
-0.30440176	-204.40388	38.010498
-0.3044658	-206.09198	38.110596
-0.30565226	-205.26115	38.210693
-0.30575705	-211.77864	38.310791
-0.30608532	-207.05559	38.410889
-0.30829895	-207.36826	38.510986
-0.30758199	-213.53946	38.611084
-0.30939984	-209.47203	38.711182
-0.3103503	-211.38074	38.811279
-0.31040803	-212.17203	38.911377
-0.31254268	-212.6445	39.011475
-0.31306109	-212.16486	39.111572
-0.31260613	-211.35718	39.21167
-0.31373316	-215.33734	39.311768
-0.31377596	-219.98918	39.411865
-0.31608579	-217.20224	39.511963
-0.31677204	-215.43608	39.612061
-0.31636864	-220.23259	39.712158
-0.31976727	-219.65541	39.812256
-0.31902066	-220.71428	39.912354
-0.32033864	-222.25993	40.012451
-0.32057461	-223.22005	40.112549
-0.32282043	-223.29955	40.212646
-0.32568023	-225.50536	40.312744
-0.32489267	-226.08806	40.412842
-0.32249212	-226.70644	40.512939
-0.32313621	-226.48454	40.613037
-0.3259567	-229.92133	40.713135
-0.32678357	-230.0547	40.813232
-0.32411042	-228.90732	40.91333
-0.32634354	-230.87344	41.013428
-0.32815558	-231.20537	41.113525
-0.32946953	-232.6349	41.213623
-0.32920429	-236.64066	41.313721
-0.3330192	-233.99702	41.413818
-0.33181906	-236.88489	41.513916
-0.3322024	-238.11481	41.614014
-0.33416161	-231.08366	41.714111
-0.33237779	-232.06694	41.814209
-0.33845016	-236.42165	41.914307
-0.33447638	-242.86188	42.014404
-0.33765769	-240.13564	42.114502
-0.33780998	-242.18286	42.2146
-0.33628827	-243.03787	42.314697
-0.34013906	-243.49007	42.414795
-0.3393288	-245.64389	42.514893
-0.34369794	-246.76422	42.61499
-0.33897904	-248.92802	42.715088
-0.34279251	-249.23189	42.815186
-0.34293044	-253.76933	42.915283
-0.34313512	-254.7206	43.015381
-0.34620544	-253.83759	43.115479
-0.34714666	-257.99622	43.215576
-0.34714052	-258.43527	43.315674
-0.34774837	-259.04401	43.415771
-0.34776291	-260.75052	43.515869
-0.34691563	-261.35001	43.615967
-0.34915423	-262.22388	43.716064
-0.35304204	-261.74319	43.816162
-0.35043564	-266.42511	43.91626
-0.3517637	-271.41232	44.016357
-0.35251218	-268.66245	44.116455
-0.35426366	-272.81235	44.216553
-0.35573295	-270.41223	44.31665
-0.35474092	-268.36884	44.416748
-0.35430765	-276.30093	44.516846
-0.35727647	-277.1033	44.616943
-0.35819215	-280.01968	44.717041
-0.35827115	-283.64883	44.817139
-0.35865653	-282.96432	44.917236
